股票代码,股票名称,组织形式,公司全称,英文名称,所属行业,注册资本,董事长,地域,办公地址,公司网址,董事会秘书,董秘电话,董秘邮箱,成立日期,上市日期,募资资金总额,发行价格,发行市盈率
600516,方大炭素,民营相对控股企业,方大炭素新材料科技股份有限公司,"Fangda Carbon New Material Co.,Ltd.",非金属制品,"171,916万元",何忠华,甘肃,甘肃省兰州市红古区海石湾镇二号街坊354号,www.fdtsgs.com,安民,0931-6239320,anmin516@163.com,1999/1/18,2002/8/30,"48,480万元
            ","6.06元
            ","20.00%
            "
600517,置信电气,国有相对控股企业,上海置信电气股份有限公司,"Shanghai Zhixin Electric Co.,Ltd.",电器制造,"124,452万元",奚国富,上海,上海市长宁区天山西路588号,www.zhixindianqi.com,牛希红,021-52311588,600517@zhixindianqi.com,2000/9/27,2003/10/10,"15,750万元
            ","6.30元
            ","20.00%
            "
600518,康美药业,民营相对控股企业,康美药业股份有限公司,"Kangmei Pharmaceutical Co.,Ltd.",医药制造,"219,871万元",马兴田,广东,广东省深圳市福田区下梅林泰科路,www.kangmei.com.cn,邱锡伟,0755-33187777-8009,kangmei@kangmei.com.cn,1997/6/18,2001/3/19,"22,626万元
            ","12.57元
            ","30.83%
            "
600519,贵州茅台,国有企业,贵州茅台酒股份有限公司,"Kweichow Moutai Co.,Ltd.",茶酒饮料,"114,200万元",袁仁国,贵州,贵州省仁怀市茅台镇,www.moutaichina.com,樊宁屏,0851-22386002,fnp@moutaichina.com,1999/11/20,2001/8/27,"224,439万元
            ","31.39元
            ","23.93%
            "
600520,中发科技,民营企业,铜陵中发三佳科技股份有限公司,"TongLing Zonfa Trinity Technology Co.,ltd.",电器制造,"15,843万元",黄言勇,安徽,安徽省铜陵市石城路电子工业区,www.chinatrinity.com,申立丰,0562-2627503,slf@chinatrinity.com,2000/4/28,2002/1/8,"17,000万元
            ","6.80元
            ","20.00%
            "
600521,华海药业,民营企业,浙江华海药业股份有限公司,"Zhejiang Huahai Pharmaceutical Co.,Ltd.",医药制造,"78,565万元",童建新,浙江,浙江省临海市汛桥,www.huahaipharm.com,祝永华,0576-85991096,600521@huahaipharm.com,2001/2/28,2003/3/4,"54,425万元
            ","15.55元
            ","19.98%
            "
600522,中天科技,民营相对控股企业,江苏中天科技股份有限公司,"Jiangsu Zhongtian Technology Co.,Ltd.",电器制造,"86,277万元",薛济萍,江苏,江苏省南通市经济技术开发区中天路六号,www.chinaztt.com,杨栋云,0513-83599505,zqb@chinaztt.com,1999/2/9,2002/10/24,"37,800万元
            ","5.40元
            ","20.00%
            "
600523,贵航股份,国有企业,贵州贵航汽车零部件股份有限公司,"Guizhou Guihang Automotive Components Co.,Ltd.",汽车制造,"28,879万元",张晓军,贵州,贵州省贵阳市小河区珠江路166号,--,周开林(代),0851-3802670,ghgf-zqb@china.com,1999/12/29,2001/12/27,"34,510万元
            ","4.93元
            ","19.98%
            "
600525,长园集团,民营相对控股企业,长园集团股份有限公司,Changyuan Group Ltd.,通信设备,"86,351万元",许晓文,广东,广东省深圳市南山区高新区科苑中路长园新材料港6栋5楼,www.cyg.com,倪昭华,0755-26719476,joyni@cyg.com,2000/6/16,2002/12/2,"19,000万元
            ","7.60元
            ","20.00%
            "
600526,菲达环保,国有相对控股企业,浙江菲达环保科技股份有限公司,"Zhejiang Feida Environmental Science & Technology Co.,Ltd.",专用设备制造,"40,689万元",舒英钢,浙江,浙江省诸暨市望云路88号,www.feida.biz,周明良,0575-87211326,dsb@feidaep.com,2000/4/30,2002/7/22,"28,800万元
            ","7.20元
            ","20.00%
            "
600527,江南高纤,民营企业,江苏江南高纤股份有限公司,"Jiangsu Jiangnan High Polymer Fiber Co.,Ltd.",化纤制造,"80,209万元",陶国平,江苏,江苏省苏州市相城区黄埭镇,www.jngx.cn,陆正中,0512-65712564,jngxlzz@163.com,1996/11/25,2003/11/27,"16,560万元
            ","5.52元
            ","14.60%
            "
600528,中铁二局,国有企业,中铁二局股份有限公司,"China Railway Erju Co.,Ltd.",建筑业,"145,920万元",王广钟,四川,四川省成都市马家花园路10号中铁二局大厦,www.crec.com.cn,邓爱民,028-66752811,ztejdb@cregc.com.cn,1999/9/24,2001/5/28,"104,500万元
            ","9.50元
            ","25.47%
            "
600529,山东药玻,国有相对控股企业,山东省药用玻璃股份有限公司,"Shandong Pharmaceutical Glass Co.,Ltd.",非金属制品,"25,738万元",柴文,山东,山东省淄博市沂源县药玻路,www.pharmglass.com,赵海宝,0533-3259028,sdyb@pharmglass.com,1993/11/8,2002/6/3,"38,976万元
            ","12.18元
            ","15.82%
            "
600530,交大昂立,民营相对控股企业,上海交大昂立股份有限公司,"Shanghai Jiaoda Onlly Co.,Ltd.",医药制造,"31,200万元",杨国平,上海,上海市宜山路700号,www.onlly.com.cn,娄健颖,021-54277900,stock@mail.onlly.com.cn,1997/12/24,2001/7/2,"68,850万元
            ","13.77元
            ","41.98%
            "
600531,豫光金铅,国有相对控股企业,河南豫光金铅股份有限公司,"Henan Yuguang Gold & Lead Co.,Ltd.",有色金属,"29,525万元",杨安国,河南,河南省济源市荆梁南街1号,www.yggf.com.cn,苗红强,0391-6665836,yuguang5865@hotmail.com,2000/1/6,2002/7/30,"33,030万元
            ","7.34元
            ","19.84%
            "
600532,宏达矿业,民营相对控股企业,山东宏达矿业股份有限公司,"Shandong Hongda Mining Co.,ltd.",采矿业,"39,623万元",段连文,山东,山东省淄博市临淄区凤凰镇南金村,hd.hdky.net,于晓兵,0533-7608266,yxb@hdky.net,1999/12/30,2002/10/31,"25,040万元
            ","6.26元
            ","20.00%
            "
600533,栖霞建设,国有相对控股企业,南京栖霞建设股份有限公司,"Nanjing Chixia Development Co.,Ltd.",房地产业,"105,000万元",江劲松,江苏,南京市龙蟠路9号,www.chixia.com,王海刚,025-85600533,invest@chixia.com,1999/12/23,2002/3/28,"33,200万元
            ","8.30元
            ","19.99%
            "
600535,天士力,民营企业,天士力制药集团股份有限公司,"Tasly Pharmaceutical Group Co.,ltd.",医药制造,"103,284万元",闫凯境,天津,天津市北辰区普济河东道2号(天士力现代中药城),www.tasly.com,刘俊峰,022-26736999,stock@tasly.com,2000/4/30,2002/8/23,"73,500万元
            ","14.70元
            ","20.00%
            "
600536,中国软件,国有相对控股企业,中国软件与技术服务股份有限公司,China National Software & Service Company Limited,信息技术,"49,456万元",杨军,北京,北京市昌平区昌盛路18号,www.css.com.cn,陈复兴,010-62158879,cfx@css.com.cn,1994/3/1,2002/5/17,"33,300万元
            ","11.10元
            ","19.97%
            "
600537,亿晶光电,民营相对控股企业,亿晶光电科技股份有限公司,"EGing Photovoltaic Technology Co.,Ltd.",电器制造,"58,818万元",荀建华,浙江,江苏省金坛市尧塘镇金武路18号,www.egingpv.com,刘党旗,0519-82585558,eging-public@egingpv.com,2000/11/8,2003/1/23,"30,000万元
            ","6.00元
            ","20.00%
            "
600538,国发股份,民营相对控股企业,北海国发海洋生物产业股份有限公司,"Beihai Gofar Marine Biological Industry Co.,Ltd.",化学制品,"46,440万元",潘利斌,广西,广西北海市北部湾中路3号,www.gofar.com.cn,李勇,0779-3200619,securities@gofar.com.cn,1993/1/22,2003/1/14,"30,105万元
            ","6.69元
            ","18.08%
            "
600539,狮头股份,国有相对控股企业,太原狮头水泥股份有限公司,"Taiyuan Lionhead Cement Co.,Ltd.",非金属制品,"23,000万元",崔照宏,山西,山西省太原市万柏林区开城街1号,www.lionhead.com.cn,郝瑛,0351-2857002,haoying@lionhead.com.cn,1999/2/28,2001/8/24,"61,424万元
            ","6.98元
            ","46.53%
            "
600540,新赛股份,国有相对控股企业,新疆赛里木现代农业股份有限公司,"Xinjiang Sayram Modern Agriculture Co.,Ltd.",农林牧渔,"36,225万元",马晓宏,新疆,新疆博乐市红星路158号,www.xinsai.com.cn,陈建江,0909-2268166,slmny-bl@mail.xj.cninfo.net,1999/12/22,2004/1/7,"33,350万元
            ","6.67元
            ","15.51%
            "
600543,莫高股份,国有相对控股企业,甘肃莫高实业发展股份有限公司,"Gansu Mogao Industrial Development Co.,Ltd.",茶酒饮料,"32,112万元",赵国柱,甘肃,甘肃省兰州市城关区东岗西路638号兰州财富中心23层,www.mogao.com,贾洪文,0931-8776219,mgjiahw@126.com,1995/12/29,2004/3/24,"31,808万元
            ","5.68元
            ","17.75%
            "
600545,新疆城建,国有相对控股企业,新疆城建(集团)股份有限公司,"Xinjiang Urban Construction (Group) Co.,Ltd.",建筑业,"67,579万元",刘军,新疆,乌鲁木齐市南湖南路133号城建大厦22层,www.xjcj.com,李若帆,0991-4889803,xucc600545@163.com,1993/2/25,2003/12/3,"35,760万元
            ","5.96元
            ","19.75%
            "
600546,山煤国际,国有企业,山煤国际能源集团股份有限公司,"Shanxi Coal International Energy Group Co.,Ltd.",批发零售,"198,246万元",郭海,山西,山西省太原市长风街115号,www.smgjcoal.com,马凌云,0351-4645546,smzqb@shanxicoal.cn,2000/11/20,2003/7/31,"42,040万元
            ","10.51元
            ","19.99%
            "
600547,山东黄金,国有企业,山东黄金矿业股份有限公司,"Shandong Gold Mining Co.,Ltd.",采矿业,"142,307万元",陈玉民,山东,山东省济南市舜华路2000号舜泰广场3号楼,www.sdhjgf.com.cn,林朴芳,0531-67710376,sdhj0531@163.com,2000/1/31,2003/8/28,"28,680万元
            ","4.78元
            ","17.84%
            "
600548,深高速,国有企业,深圳高速公路股份有限公司,Shenzhen Expressway Company Limited,交通物流,"218,077万元",胡伟,广东,"广东省深圳市福田区益田路江苏大厦裙楼2-4层,香港中环康乐广场1号怡和大厦20楼2001-2006室",www.sz-expressway.com,吴倩,0755-82853331,secretary@sz-expressway.com,1996/12/30,2001/12/25,"143,000万元
            ","2.20元
            ","--%
            "
600549,厦门钨业,国有相对控股企业,厦门钨业股份有限公司,"Xiamen Tungsten Co.,Ltd.",有色金属,"83,198万元",刘同高,福建,厦门市湖滨南路619号16层,www.cxtc.com,许火耀,0592-5363856,600549.cxtc@cxtc.com,1997/12/30,2002/11/7,"34,800万元
            ","11.60元
            ","17.06%
            "
600550,*ST天威,国有企业,保定天威保变电气股份有限公司,"Baoding Tianwei Baobian Electric Co.,Ltd.",电器制造,"153,461万元",边海青,河北,河北省保定市天威西路2222号,www.twbb.com,张继承,0312-3252455,zjc@twbb.com,1999/9/28,2001/2/28,"54,600万元
            ","9.10元
            ","40.80%
            "
600551,时代出版,国有企业,时代出版传媒股份有限公司,"Time Publishing And Media Co.,ltd.",出版传媒,"50,583万元",王亚非,安徽,安徽省合肥市蜀山区翡翠路1118号出版传媒广场,www.press-mart.com,刘红,0551-63533671,Zhengquan@press-mart.com,1999/12/12,2002/9/5,"10,000万元
            ","4.00元
            ","20.00%
            "
600552,方兴科技,国有相对控股企业,安徽方兴科技股份有限公司,"Anhui Fangxing Science & Technology Co.,Ltd.",非金属制品,"35,899万元",茆令文,安徽,安徽省蚌埠市黄山大道8009号,www.fangxingkj.com,黄晓婷,0552-4968007,chch0254@sina.com,2000/9/30,2002/11/8,"22,400万元
            ","5.60元
            ","20.00%
            "
600555,九龙山,国有相对控股企业,上海九龙山旅游股份有限公司,"Shanghai Nine Dragon Tourism Co.,ltd.",房地产业,"130,350万元",郭亚军,上海,上海市浦东新区浦东南路588号浦发大厦15楼,www.ninedragon.com.cn,孙爱林,021-60625366,ailin_sun@hnair.com,1999/1/14,1999/1/18,"--万元
            ","--元
            ","--%
            "
600556,慧球科技,民营相对控股企业,广西慧球科技股份有限公司,"Guangxi Future Technology Co.,Ltd.",医药制造,"39,479万元",顾国平,广西,广西壮族自治区北海市北海大道西16号海富大厦17层D座,www.bsyy.com.cn,苏忠,0779-2228937,bsyy_bh@163.net,1993/11/28,2001/8/7,"43,507万元
            ","9.60元
            ","46.24%
            "
600557,康缘药业,民营企业,江苏康缘药业股份有限公司,"Jiangsu Kanion Pharmaceutical Co.,Ltd.",医药制造,"51,371万元",肖伟,江苏,江苏省连云港经济技术开发区江宁工业城,www.kanion.com,程凡,0518-85521990,chf@kanion.com,2000/12/2,2002/9/18,"28,000万元
            ","7.00元
            ","20.00%
            "
600558,大西洋,国有相对控股企业,四川大西洋焊接材料股份有限公司,"Atlantic China Welding Consumables,Inc.",金属制品,"39,894万元",李欣雨,四川,四川省自贡市大安区马冲口街2号,www.weldatlantic.com,唐敏,0813-5101327,dxy600558@vip.163.com,1999/9/20,2001/2/27,"33,750万元
            ","7.50元
            ","34.72%
            "
600559,老白干酒,国有相对控股企业,河北衡水老白干酒业股份有限公司,"Hebei Hengshui Laobaigan Liquor Co.,ltd.",茶酒饮料,"14,000万元",刘彦龙,河北,河北省衡水市人民东路809号,www.hengshuilaobaigan.net,刘勇,0318-2122755,hslbg@hengshuilaobaigan.net,1999/12/30,2002/10/29,"17,440万元
            ","4.36元
            ","20.00%
            "
600560,金自天正,国有相对控股企业,北京金自天正智能控制股份有限公司,"Beijing AriTime Intelligent Control Co.,Ltd.",专用设备制造,"22,365万元",孙彦广,北京,北京市丰台区科学城富丰路6号,www.aritime.com,胡邦周,010-56982304,hubangzhou@163.com,1999/12/28,2002/9/19,"27,000万元
            ","9.00元
            ","19.78%
            "
600561,江西长运,国有相对控股企业,江西长运股份有限公司,"Jiangxi Changyun Co.,Ltd.",交通物流,"23,706万元",葛黎明,江西,江西省南昌市广场南路118号,www.jxcy.com.cn,吴隼,0791-86298107,--,1993/4/3,2002/7/16,"14,340万元
            ","4.78元
            ","19.91%
            "
600562,国睿科技,国有相对控股企业,国睿科技股份有限公司,"Glarun Technology Co.,ltd.",通信设备,"25,706万元",周万幸,江苏,南京市江宁经济开发区将军大道39号,www.glaruntech.com,王贵夫,025-57889698,dmbgs@glarun.com,1994/6/28,2003/1/28,"21,600万元
            ","7.20元
            ","19.89%
            "
600563,法拉电子,民营企业,厦门法拉电子股份有限公司,"Xiamen Faratronic Co.,Ltd.",通信设备,"22,500万元",曾福生,福建,福建省厦门市新园路99号,www.faratronic.com,许琼玖,0592-6208590,xuqj@faratronic.com.cn,1998/12/12,2002/12/10,"40,200万元
            ","8.04元
            ","20.00%
            "
600565,迪马股份,民营相对控股企业,重庆市迪马实业股份有限公司,"Chongqing Dima Industry Co.,Ltd.",房地产业,"234,586万元",向志鹏,重庆,重庆市南岸区南城大道199号正联大厦21楼,www.chinadima.com,张爱明,023-89021876,zhangaiming@dongyin.com,2000/8/18,2002/7/23,"31,600万元
            ","15.80元
            ","20.00%
            "
600566,洪城股份,民营相对控股企业,湖北洪城通用机械股份有限公司,"Hubei Hongcheng General Machinery Co.,Ltd.",医药制造,"78,145万元",曹龙祥,湖北,江苏省泰兴市大庆西路宝塔湾,www.jumpcan.com,吴宏亮,0523-89719161,whl@jumpcan.com,1997/1/22,2001/8/22,"34,320万元
            ","7.80元
            ","50.32%
            "
600567,山鹰纸业,民营相对控股企业,安徽山鹰纸业股份有限公司,"Anhui Shanying Paper Industry Co.,Ltd.",造纸,"376,694万元",吴明武,安徽,上海市长宁区虹桥路2272号虹桥商务大厦6楼F座,www.shanyingpaper.com,洪少杰,021-62376587,stock@shanyingpaper.com,1999/10/20,2001/12/18,"18,360万元
            ","3.06元
            ","20.00%
            "
600568,中珠控股,民营企业,中珠控股股份有限公司,"Zhongzhu Holding Co.,Ltd.",医药制造,"50,660万元",叶继革,湖北,湖北省潜江市章华南路特1号,www.zzkg600568.com,陈小峥,027-59409632,zzkg_stock@126.com,1994/6/27,2001/5/18,"33,950万元
            ","9.70元
            ","41.45%
            "
600569,安阳钢铁,国有企业,安阳钢铁股份有限公司,"AnYang lron And Steel Co.,Ltd.",黑色金属,"239,368万元",李涛,河南,河南省安阳市殷都区梅元庄,www.aysteel.com.cn,张宪胜,0372-3120175,aygtdb312@126.com,1993/11/15,2001/8/20,"187,000万元
            ","6.80元
            ","19.59%
            "
600570,恒生电子,民营企业,恒生电子股份有限公司,Hundsun Technologies Inc.,信息技术,"61,781万元",彭政纲,浙江,杭州市滨江区江南大道3588号恒生大厦,www.hundsun.com,童晨晖,0571-28829702,investor@hundsun.com,2000/12/13,2003/12/16,"26,402万元
            ","15.53元
            ","19.99%
            "
600571,信雅达,民营企业,信雅达系统工程股份有限公司,"Sunyard System Engineering Co.,Ltd.",信息技术,"20,242万元",郭华强,浙江,杭州市滨江区江南大道3888号,www.sunyard.com,叶晖,0571-56686627,mail@sunyard.com,2000/11/30,2002/11/1,"24,966万元
            ","13.87元
            ","20.00%
            "
600572,康恩贝,民营企业,浙江康恩贝制药股份有限公司,"Zhejiang Conba Pharmaceutical Co.,Ltd.",医药制造,"80,960万元",胡季强,浙江,浙江省杭州市高新技术开发区滨江科技经济园滨康路568号,www.conba.com.cn,杨俊德,0571-87774710,yangjd@conbagroup.com,1993/1/9,2004/4/12,"33,000万元
            ","8.25元
            ","20.00%
            "
600573,惠泉啤酒,国有企业,福建省燕京惠泉啤酒股份有限公司,"Fujian Yanjing Huiquan Brewery Co.,Ltd.",茶酒饮料,"25,000万元",王启林,福建,福建省惠安县螺城镇建设大街157号,www.huiquan-beer.com,何泽平,0595-87396105,hqbeer@hqbeer.com,1997/2/4,2003/2/26,"46,872万元
            ","7.44元
            ","20.00%
            "
600575,皖江物流,国有企业,安徽皖江物流(集团)股份有限公司,"Anhui Wanjiang Logistics(group)Co.,ltd.",交通物流,"288,401万元",孔祥喜,安徽,安徽省芜湖市长江中路港一路16号,www.wuhuport.com,牛占奎,0553-5840528,niu_zhan_kui@163.com,2000/11/29,2003/3/28,"31,860万元
            ","7.08元
            ","20.00%
            "
600576,万好万家,民营企业,浙江万好万家实业股份有限公司,"Zhejiang WHWH Industry Co.,Ltd.",批发零售,"21,809万元",孔德永,浙江,浙江省杭州市密渡桥路1号白马大厦12楼,www.cn-pg.cn,詹纯伟,0571-85866518,irm@cn-pg.cn,2000/3/28,2003/2/20,"37,680万元
            ","6.28元
            ","20.00%
            "
600577,精达股份,民营相对控股企业,铜陵精达特种电磁线股份有限公司,"Tongling Jingda Special Magnet Wire Co.,Ltd.",电器制造,"97,766万元",李晓,安徽,安徽省铜陵市经济技术开发区黄山大道北段988号,www.jingda.cn,胡孔友,0562-2809086,zqb@jingda.cn,2000/7/12,2002/9/11,"19,800万元
            ","9.90元
            ","19.80%
            "
600578,京能电力,国有企业,北京京能电力股份有限公司,"Beijing Jingneng Power Co.,ltd.",水电燃气,"461,732万元",陆海军,北京,北京市朝阳区永安东里16号CBD国际大厦A区22层,www.jingnengpower.com,樊俊杰,010-65666995,jndl@powerbeijing.com,2000/3/10,2002/5/10,"50,000万元
            ","5.00元
            ","20.00%
            "
600579,天华院,国有企业,青岛天华院化学工程股份有限公司,Qingdao Tianhua Institute Chemistry Engineering Company Limited,专用设备制造,"39,207万元",肖世猛,山东,甘肃省兰州市西固区合水北路3号,www.thy.chemchina.com,阎建亭,0931-7313058,thy@sciences.chemchina.com,1999/6/30,2002/8/9,"30,000万元
            ","5.00元
            ","20.00%
            "
600580,卧龙电气,民营相对控股企业,卧龙电气集团股份有限公司,"Wolong Electric Group Co.,Ltd.",电器制造,"111,053万元",王建乔,浙江,浙江省绍兴市上虞区人民西路1801号,www.wolong.com.cn,王海龙,0575-82176628,wanghailong@wolong.com,1998/10/21,2002/6/6,"28,980万元
            ","8.28元
            ","20.00%
            "
600581,八一钢铁,国有企业,新疆八一钢铁股份有限公司,"Xinjiang Ba yi Iron & Steel Co.,Ltd.",黑色金属,"76,645万元",沈东新,新疆,新疆维吾尔自治区乌鲁木齐市头屯河区新钢路,www.bygt.com.cn,董新风,0991-3890166,dongxf@bygt.com.cn,2000/7/27,2002/8/16,"95,940万元
            ","7.38元
            ","14.44%
            "
600582,天地科技,国有企业,天地科技股份有限公司,"Tian Di Science & Technology Co.,ltd.",专用设备制造,"189,605万元",王金华,北京,北京市朝阳区和平街青年沟路5号天地大厦,www.tdtec.com,范建,010-84262803,fanjian@tdtec.com,2000/3/24,2002/5/15,"31,200万元
            ","12.48元
            ","20.00%
            "
600583,海油工程,国有企业,海洋石油工程股份有限公司,"Offshore Oil Engineering Co.,Ltd.",采矿业,"442,135万元",刘健,天津,天津港保税区海滨十五路199号,www.cnoocengineering.com,刘连举,022-59898808,zqblx@mail.cooec.com.cn,2000/4/20,2002/2/5,"76,800万元
            ","9.60元
            ","19.60%
            "
600584,长电科技,民营企业,江苏长电科技股份有限公司,"Jiangsu Changjiang Electronics Technology Co.,Ltd.",通信设备,"98,457万元",王新潮,江苏,江苏省江阴市滨江中路275号,www.cj-elec.com,朱正义,0510-86856061,cdkj@cj-elec.com,2000/12/12,2003/6/3,"39,545万元
            ","7.19元
            ","18.92%
            "
600585,海螺水泥,国有相对控股企业,安徽海螺水泥股份有限公司,Anhui Conch Cement Company Limited,非金属制品,"529,930万元",郭文叁,安徽,"安徽省芜湖市九华南路1011号,香港中环康乐广场1号怡和大厦40楼",www.conch.cn,杨开发,0553-8398927,dms@conch.cn,1997/9/1,2002/2/7,"82,308万元
            ","2.28元
            ","--%
            "
600586,金晶科技,民营相对控股企业,山东金晶科技股份有限公司,"Shandong Jinjing Science and Technology Stock Co.,Ltd.",非金属制品,"142,271万元",王刚,山东,山东省淄博市高新技术开发区宝石镇王庄,www.cnggg.cn,董保森,0533-3586666,dongbaosen@cnggg.cn,1999/12/31,2002/8/15,"33,530万元
            ","9.58元
            ","12.95%
            "
600587,新华医疗,国有相对控股企业,山东新华医疗器械股份有限公司,"Shinva Medical Instrument Co.,Ltd.",专用设备制造,"40,314万元",赵毅新,山东,山东省淄博高新技术产业开发区新华医疗科技园,www.shinva.net,李财祥,0533-3587766,shinva@163.com,1993/4/18,2002/9/27,"19,320万元
            ","9.20元
            ","20.00%
            "
600588,用友软件,民营相对控股企业,用友软件股份有限公司,"Yonyou Software Co.,Ltd.",信息技术,"116,629万元",王文京,北京,北京市海淀区北清路68号,www.yonyou.com,欧阳青,010-62436838,ir@yonyou.com,1999/12/6,2001/5/18,"91,700万元
            ","36.68元
            ","64.35%
            "
600589,广东榕泰,民营相对控股企业,广东榕泰实业股份有限公司,"Guangdong Rongtai Industry Co.,ltd.",化学制品,"60,173万元",杨宝生,广东,广东省揭阳市揭东区经济试验区西侧,www.rongtai.com.cn,徐罗旭,0663-3568053,600589@rongtai.com.cn,1997/12/25,2001/6/12,"39,600万元
            ","9.90元
            ","45.00%
            "
600590,泰豪科技,国有相对控股企业,泰豪科技股份有限公司,"Tellhow Sci-Tech Co.,Ltd.",电器制造,"50,633万元",陆致成,江西,江西省南昌高新开发区泰豪大厦,www.tellhow.com,李结平,0791-88110590,stock@tellhow.com,1996/3/20,2002/7/3,"19,040万元
            ","4.76元
            ","19.99%
            "
600592,龙溪股份,国有相对控股企业,福建龙溪轴承(集团)股份有限公司,"Fujian Longxi Bearing (Group) Co.,Ltd.",通用设备制造,"39,955万元",曾凡沛,福建,福建省漳州市延安北路,www.ls.com.cn,黄继新,0596-2072091,huang@ls.com.cn,1997/12/24,2002/8/5,"30,000万元
            ","6.00元
            ","20.00%
            "
600593,大连圣亚,国有相对控股企业,大连圣亚旅游控股股份有限公司,"Dalian Sunasia Tourism Holding Co.,Ltd.",旅游环境,"9,200万元",刘达,辽宁,辽宁省大连市沙河口区中山路608-6-8,www.sunasia.com,丁霞,0411-84685225,dingxia@sunasia.com,1994/1/18,2002/7/11,"24,672万元
            ","7.71元
            ","20.00%
            "
600594,益佰制药,民营相对控股企业,贵州益佰制药股份有限公司,"Guizhou Yibai Pharmaceutical Co.,Ltd.",医药制造,"39,596万元",窦啟玲,贵州,贵州省贵阳市白云大道220-1号,www.gzcci.com,汪志伟(代),0851-4705177,600594@gz100.cn,2000/11/28,2004/3/23,"28,800万元
            ","14.40元
            ","17.78%
            "
600595,中孚实业,民营相对控股企业,河南中孚实业股份有限公司,"Henan Zhongfu Industrial Co.,Ltd.",有色金属,"174,154万元",贺怀钦,河南,河南省巩义市新华路31号,www.zfsy.com.cn,杨萍,0371-64569088,yangping@zfsy.com.cn,1993/12/10,2002/6/26,"41,500万元
            ","8.30元
            ","16.90%
            "
600596,新安股份,民营相对控股企业,浙江新安化工集团股份有限公司,"Zhejiang Xinan Chemical Industrial Group Co.,ltd.",化学制品,"67,918万元",季诚建,浙江,浙江省建德市新安江街道新安东路555号,www.wynca.com,姜永平,0571-64715693,jiang_yp888@sohu.com,1993/5/12,2001/9/6,"32,120万元
            ","7.30元
            ","48.34%
            "
600597,光明乳业,国有企业,光明乳业股份有限公司,"Bright Dairy & Food Co.,ltd.",食品制造,"123,064万元",庄国蔚,上海,上海市吴中路578号,www.brightdairy.com,沈小燕,021-54584520-5623,shenxiaoyan@brightdairy.com,2000/11/17,2002/8/28,"97,500万元
            ","6.50元
            ","20.00%
            "
600598,*ST大荒,国有企业,黑龙江北大荒农业股份有限公司,Heilongjiang Agriculture Company Limited,农林牧渔,"177,768万元",刘长友,黑龙江,黑龙江省哈尔滨市南岗区汉水路263号,www.hacl.cn,刘长友(代),0451-55195980,600598@hacl.cn,1998/11/27,2002/3/29,"161,400万元
            ","5.38元
            ","19.93%
            "
600599,熊猫烟花,民营企业,熊猫烟花集团股份有限公司,"Panda Fireworks Group Co.,Ltd.",化学制品,"16,600万元",李民,湖南,湖南省浏阳市浏阳大道271号,www.pandafireworks.com,黄叶璞,0731-83620963,600599@pandafireworks.com,1999/12/12,2001/8/28,"22,000万元
            ","10.00元
            ","45.45%
            "
600600,青岛啤酒,国有相对控股企业,青岛啤酒股份有限公司,Tsingtao Brewery Company Limited,茶酒饮料,"135,098万元",孙明波,山东,青岛市市南区香港中路五四广场青啤大厦,www.tsingtao.com.cn,张瑞祥,0532-85713831,secretary@tsingtao.com.cn,1993/6/16,1993/8/27,"88,928万元
            ","2.80元
            ","--%
            "
600601,方正科技,国有相对控股企业,方正科技集团股份有限公司,Founder Technology Group Corp.,通信设备,"219,489万元",易梅,上海,上海市浦东南路360号新上海国际大厦36层,www.foundertech.com,侯郁波,021-58400030,IR@founder.com,1985/4/1,1990/12/19,"0万元
            ","50.00元
            ","0.00%
            "
600602,仪电电子,国有相对控股企业,上海仪电电子股份有限公司,"INESA Electron Co.,Ltd.",通信设备,"117,294万元",刘家雄,上海,上海市徐汇区田林路168号4-5楼,www.inesa-e.com,赵开兰,021-62980202,stock@inesa-e.com,1987/1/10,1990/12/19,"0万元
            ","102.00元
            ","0.00%
            "
600603,大洲兴业,民营企业,大洲兴业控股股份有限公司,"Dazhou Xingye Holdings Co.,ltd.",综合,"19,464万元",陈铁铭,福建,福建省厦门市思明区鹭江道2号厦门第一广场1701室,--,陈铁铭(代),0592-2033603,xy600603@163.com,1988/8/28,1992/1/13,"0万元
            ","10.00元
            ","0.00%
            "
600604,市北高新,国有相对控股企业,上海市北高新股份有限公司,"Shanghai Shibei Hi-tech Co.,ltd.",房地产业,"56,645万元",丁明年,上海,上海市江场三路262号1楼,www.shibeiht.com,胡申,021-66528130,zhengquan@shibei.com,1992/3/12,1992/3/27,"11,476万元
            ","38.00元
            ","0.00%
            "
600605,汇通能源,民营相对控股企业,上海汇通能源股份有限公司,"Shanghai Huitong Energy Co.,Ltd.",批发零售,"14,734万元",郑树昌,上海,上海南京西路1576号轻工机械大厦4楼,www.huitongenergy.com,邵宗超,021-62560000-108,shaozongchao@huitongenergy.com,1991/12/25,1992/3/27,"2,400万元
            ","24.00元
            ","0.00%
            "
600606,金丰投资,国有相对控股企业,上海金丰投资股份有限公司,"Shanghai Jinfeng Investment Co.,Ltd.",房地产业,"51,832万元",王文杰,上海,上海市浦东新区雪野路928号11楼,www.shjftz.com.cn,包永镭,021-20770666,shjftz@shjftz.com.cn,1991/12/10,1992/3/27,"3,500万元
            ","35.00元
            ","0.00%
            "
